chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
3R	AGAP007736	694	70	181.366668346	1072	72	177.93909465	359.305762996
3R	AGAP007732	94	23	138.13159028	266	32	146.271040488	284.402630768
X	AGAP001076	44	12	76.7447852545	25	10	122.040738982	198.7855242365
X	AGAP001035	23	14	163.002568479	28	5	29.0285218378	192.03109031679998
X	AGAP013341	9	10	159.104816487	18	4	26.6979425803	185.8027590673
X	AGAP001023	63	6	13.6445441877	100	20	145.076233044	158.7207772317
2R	AGAP013121	130	24	112.612750487	167	9	17.3940607981	130.0068112851
3R	AGAP007731	34	11	80.2241867194	89	10	41.2863891475	121.5105758669
2R	AGAP004643	18	7	56.1288519008	18	4	26.6979425803	82.8267944811
X	AGAP001026	21	6	37.0740140902	12	4	36.9117251829	73.9857392731
X	AGAP001092	4	3	30.6001165211	1	2	37.0751023437	67.6752188648
X	AGAP001091	34	5	16.8521668029	39	6	31.4407934806	48.2929602835
X	AGAP001043	160	12	22.4854839428	153	10	23.9256690672	46.41115301
X	AGAP000893	111	11	27.492850629	130	8	17.6681488126	45.1609994416
X	AGAP001029	17	4	19.4943405519	24	4	20.850108047	40.3444485989
X	AGAP001033	2	2	19.6548640532	13	3	18.9906009206	38.6454649738
X	AGAP000974	181	11	16.2655977698	270	11	15.7020137764	31.967611546199997
X	AGAP000958	114	7	10.1657951468	170	10	21.3895469669	31.5553421137
X	AGAP001034	9	3	17.7724065593	7	2	12.4956776431	30.268084202399997
X	AGAP001061	125	9	15.8737950299	272	10	12.604176766	28.4779717959
X	AGAP001036	3	2	15.7601344299	8	2	11.2561193716	27.0162538015
